Query_1	GII88_08880	38.996	259	137	4	4	257	1	243	5.47e-47	154
Query_1	GII88_18260	31.746	252	159	2	7	257	5	244	3.98e-36	125
Query_1	GII88_13580	33.333	261	162	3	1	259	1	251	5.06e-35	123
Query_1	GII88_10155	31.474	251	170	2	8	257	7	256	1.98e-34	122
Query_1	GII88_20020	30.556	252	172	3	8	257	7	257	9.10e-33	117
Query_1	GII88_02125	30.153	262	168	5	1	259	1	250	1.18e-32	117
Query_1	GII88_19860	34.109	258	150	7	8	261	13	254	6.24e-31	112
Query_1	GII88_18560	32.061	262	165	7	8	260	428	685	2.19e-29	113
Query_1	GII88_07875	31.873	251	168	3	8	257	11	259	9.47e-29	107
Query_1	GII88_04855	28.346	254	169	4	8	259	5	247	1.38e-28	106
Query_1	GII88_05410	33.333	252	153	6	8	257	46	284	5.63e-28	105
Query_1	GII88_05960	30.980	255	161	5	5	257	39	280	8.88e-27	102
Query_1	GII88_11220	26.562	256	171	3	7	261	4	243	1.18e-26	101
Query_1	GII88_07940	30.350	257	158	4	8	257	4	246	1.57e-26	100
Query_1	GII88_09380	28.405	257	164	5	6	258	1	241	6.03e-26	99.0
Query_1	GII88_07190	28.214	280	176	5	1	260	4	278	1.06e-25	99.4
Query_1	GII88_02020	33.019	212	136	5	8	214	6	216	2.33e-25	97.8
Query_1	GII88_02955	30.588	255	156	7	8	257	46	284	1.44e-24	96.3
Query_1	GII88_16240	25.194	258	170	5	8	257	2	244	3.00e-23	92.0
Query_1	GII88_14945	29.020	255	172	3	8	257	8	258	4.53e-23	92.0
Query_1	GII88_18300	27.308	260	184	3	1	257	1	258	1.76e-22	90.5
Query_1	GII88_18160	32.979	188	122	3	8	193	4	189	2.08e-21	87.8
Query_1	GII88_20220	30.556	252	173	2	8	259	4	253	5.61e-21	86.3
Query_1	GII88_10395	25.532	282	181	6	1	260	5	279	2.79e-20	84.7
Query_1	GII88_14910	29.070	258	174	3	5	257	5	258	7.17e-20	83.2
Query_1	GII88_10680	30.435	184	127	1	45	227	44	227	8.11e-19	79.7
Query_1	GII88_13490	26.383	235	163	3	1	229	1	231	1.20e-16	74.3
Query_1	GII88_06340	25.373	201	135	4	8	194	7	206	2.36e-16	73.6
Query_1	GII88_03615	26.250	240	163	6	9	243	7	237	2.59e-10	56.2
Query_1	GII88_06740	25.758	264	165	10	8	258	8	253	1.64e-09	53.9
Query_1	GII88_17650	25.500	200	131	9	10	199	4	195	2.69e-06	44.3
